Phase,Duty,Frequency,Work
-50,50,10.1,-270.9298208
-50,50,10.1,-233.8927838
-50,50,10.1,-186.2737362
-45,50,10.1,-138.7862049
-45,50,10.1,-133.4951997
-45,50,10.1,-85.87615203
-40,50,10.1,-175.9547584
-40,50,10.1,-144.2087266
-40,50,10.1,-107.1716896
-30,50,10.1,-1.624733173
-30,50,10.1,8.967394053
-30,50,10.1,8.967394053
-30,50,10.1,51.29543638
-30,50,10.1,51.29543638
-30,50,10.1,59.23194432
-25,50,10.1,93.49196233
-25,50,10.1,72.32794116
-25,50,10.1,85.55039607
-20,50,10.1,98.64639291
-20,50,10.1,85.41887968
-20,50,10.1,64.25485852
-15,50,10.1,72.05985007
-15,50,10.1,53.54133155
-15,50,10.1,32.37731039
-10,50,10.1,13.72727549
-10,50,10.1,8.436270195
-10,50,10.1,-7.436745678
-35,50,10.1,-38.52013718
-35,50,10.1,-12.06511073
-35,50,10.1,-27.94318492
-5,50,10.1,-71.06032555
-5,50,10.1,-68.41482291
-5,50,10.1,-65.76932026
0,50,10.1,-237.8585086
0,50,10.1,-253.7315245
0,50,10.1,-301.3556304
5,50,10.1,-341.1696865
5,50,10.1,-367.6247129
5,50,10.1,-444.3442897
9,50,10.1,-285.7203557
9,50,10.1,-243.3923134
9,50,10.1,-224.8737949
15,50,10.1,-727.6761055
15,50,10.1,-592.7554706
15,50,10.1,-563.6549415
20,50,10.1,-452.6753467
20,50,10.1,-402.4107965
20,50,10.1,-365.3737594
25,50,10.1,-606.2510749
25,50,10.1,-503.0714134
25,50,10.1,-473.9708843
30,50,10.1,-341.8323267
30,50,10.1,-304.7952897
30,50,10.1,-267.7582527
35,50,10.1,-294.3447955
35,50,10.1,-265.2442664
35,50,10.1,-233.4982346
40,50,10.1,-297.1218145
40,50,10.1,-312.9948304
40,50,10.1,-252.1482695
45,50,10.1,-212.5972462
45,50,10.1,-196.7242304
45,50,10.1,-157.0416907
50,50,10.1,-178.3372282
50,50,10.1,-167.7552177
50,50,10.1,-125.4271753
-50,50,8.6,-173.0734059
-50,50,8.6,-120.8994929
-45,50,8.6,-123.6378751
-45,50,8.6,-76.6813534
-40,50,8.6,-84.63712694
-40,50,8.6,-100.2893009
-35,50,8.6,-29.98420484
-35,50,8.6,-19.54942223
-30,50,8.6,-6.640618505
-30,50,8.6,19.44633802
-25,50,8.6,55.8433785
-25,50,8.6,68.88685676
-20,50,8.6,76.58325713
-20,50,8.6,94.83913875
-15,50,8.6,81.6659739
-15,50,8.6,92.10075651
-10,50,8.6,63.27541774
-10,50,8.6,50.23193948
-5,50,8.6,31.84138332
-5,50,8.6,-15.11513842
0,50,8.6,-28.29329121
0,50,8.6,-130.0324216
5,50,8.6,-104.0751517
5,50,8.6,-218.8577604
9,50,8.6,-161.5712029
9,50,8.6,-54.61468119
15,50,8.6,-490.4214814
15,50,8.6,-404.3345249
20,50,8.6,-279.2468202
20,50,8.6,-185.3337767
25,50,8.6,-355.0336686
25,50,8.6,-266.3380165
30,50,8.6,-274.2888021
30,50,8.6,-167.3372683
35,50,8.6,-253.5539114
35,50,8.6,-157.0321723
40,50,8.6,-235.4227284
40,50,8.6,-172.8140328
45,50,8.6,-191.2045889
45,50,8.6,-110.3350237
50,50,8.6,-162.6386233
50,50,8.6,-97.42123202
-50,69,8.6,-208.7586731
-50,69,8.6,-111.8154416
-50,69,8.6,-80.37940334
-45,69,8.6,-85.75484065
-45,69,8.6,-59.55396729
-45,69,8.6,-56.93387995
-40,69,8.6,-119.9462289
-40,69,8.6,-49.19886112
-40,69,8.6,-59.67921047
-40,69,8.6,-38.71851178
-35,69,8.6,-33.60859001
-35,69,8.6,-12.64789132
-35,69,8.6,-17.88806599
-30,69,8.6,-54.70455134
-30,69,8.6,8.18255446
-30,69,8.6,23.90307848
-25,69,8.6,39.48833986
-25,69,8.6,39.49334959
-25,69,8.6,29.01300024
-20,69,8.6,44.59826162
-20,69,8.6,31.49782494
-20,69,8.6,5.296951581
-15,69,8.6,33.98765937
-15,69,8.6,13.02696068
-15,69,8.6,-44.61496072
-10,69,8.6,-76.19127139
-10,69,8.6,-21.16943732
-10,69,8.6,-0.208738634
-5,69,8.6,-71.07633989
-5,69,8.6,-50.1156412
-5,69,8.6,-141.818698
0,69,8.6,-120.9882522
0,69,8.6,-128.8485142
0,69,8.6,-147.1891256
5,69,8.6,-160.4198151
5,69,8.6,-157.7997278
5,69,8.6,-176.1403392
9,69,8.6,-205.0715139
9,69,8.6,-134.3291558
9,69,8.6,-139.5693304
9,69,8.6,-113.3684571
5,69,8.6,-301.909541
15,69,8.6,-197.3665534
15,69,8.6,-199.9866407
15,69,8.6,-155.445156
20,69,8.6,-244.6633881
20,69,8.6,-173.92103
20,69,8.6,-137.2398073
20,69,8.6,-145.1000693
25,69,8.6,-153.0855745
25,69,8.6,-134.7449631
25,69,8.6,-171.4261858
25,69,8.6,-294.5753004
30,69,8.6,-124.3998764
30,69,8.6,-113.9195271
30,69,8.6,-92.95882839
30,69,8.6,-71.9981297
35,69,8.6,-137.6255563
35,69,8.6,-127.1452069
35,69,8.6,-103.5644209
35,69,8.6,-87.8438969
40,69,8.6,-137.7658287
40,69,8.6,-103.7046933
45,69,8.6,-177.1923819
45,69,8.6,-114.3102858
45,69,8.6,-88.10941244
45,69,8.6,-75.00897576
50,69,8.6,-166.8422854
50,69,8.6,-101.340102
50,69,8.6,-77.75931601
50,69,8.6,-72.51914133
-50,50,6.1,-71.08282178
-50,50,6.1,-97.39861125
-45,50,6.1,-55.42417229
-45,50,6.1,-76.47680386
-40,50,6.1,-68.71289121
-40,50,6.1,-39.76552279
-35,50,6.1,-21.47529435
-35,50,6.1,-37.26476804
-30,50,6.1,2.078091979
-30,50,6.1,-0.553486968
-25,50,6.1,22.99486767
-25,50,6.1,30.88960451
-20,50,6.1,41.28509611
-20,50,6.1,59.70614874
-15,50,6.1,51.6805877
-15,50,6.1,67.47006139
-10,50,6.1,48.91818456
-10,50,6.1,62.0760793
-5,50,6.1,46.15578142
-5,50,6.1,46.15578142
0,50,6.1,24.97232565
0,50,6.1,27.6039046
5,50,6.1,6.420448828
5,50,6.1,-9.369024857
9,50,6.1,-12.1062695
9,50,6.1,-25.26416423
15,50,6.1,-46.4778102
15,50,6.1,-91.21465231
20,50,6.1,-88.71389755
20,50,6.1,-78.18758177
25,50,6.1,-99.37103754
25,50,6.1,-128.318406
30,50,6.1,-104.7650196
30,50,6.1,-160.0281775
35,50,6.1,-104.9008755
35,50,6.1,-125.9535071
40,50,6.1,-102.4001208
40,50,6.1,-133.9790681
45,50,6.1,-81.47831337
45,50,6.1,-99.89936601
50,50,6.1,-68.45124283
50,50,6.1,-86.87229546
